유치원명,교육지원청명,특수유아수,유아수,특수유아비율,특수학급수,특수학급총합,특수교사수,특수교사당유아,학급대비특수교사수,특수유아있지만학급없음,특수유아있지만교사없음,교사가없는특수아동
서울정심초등학교병설유치원,남부교육지원청,4,38,0.1052632,1,1,1,4.0,1.0,0,0,0.0
서울솔방울유치원,강동송파교육지원청,6,108,0.0555556,1,1,0,0.0,0.0,0,1,6.0
란키즈유치원,강동송파교육지원청,0,75,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신현초등학교병설유치원,동부교육지원청,4,50,0.08,1,1,1,4.0,1.0,0,0,0.0
서울신묵초등학교병설유치원,동부교육지원청,0,33,0.0,0,0,0,0.0,0.0,0,0,0.0
다우림유치원,서부교육지원청,0,57,0.0,0,0,0,0.0,0.0,0,0,0.0
서울소의초등학교병설유치원,서부교육지원청,0,34,0.0,0,0,0,0.0,0.0,0,0,0.0
서울상계초등학교병설유치원,북부교육지원청,0,15,0.0,0,0,0,0.0,0.0,0,0,0.0
서울송파위례유치원,강동송파교육지원청,4,119,0.0336134,1,1,1,4.0,1.0,0,0,0.0
서울월천초등학교병설유치원,북부교육지원청,0,33,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신구유치원,강남서초교육지원청,2,60,0.0333333,1,1,0,0.0,0.0,0,1,2.0
서울세명유치원,강남서초교육지원청,4,84,0.047619,1,1,0,0.0,0.0,0,1,4.0
한신유치원,강남서초교육지원청,0,139,0.0,0,0,0,0.0,0.0,0,0,0.0
서울강월초등학교병설유치원,강서양천교육지원청,0,13,0.0,0,0,0,0.0,0.0,0,0,0.0
강남유치원,강남서초교육지원청,0,76,0.0,0,0,0,0.0,0.0,0,0,0.0
서울연광초등학교병설유치원,서부교육지원청,0,23,0.0,0,0,0,0.0,0.0,0,0,0.0
서울원명초등학교병설유치원,강남서초교육지원청,0,59,0.0,0,0,0,0.0,0.0,0,0,0.0
홍익대학교사범대학부속유치원,서부교육지원청,0,145,0.0,0,0,0,0.0,0.0,0,0,0.0
서울마장초등학교병설유치원,성동광진교육지원청,0,33,0.0,0,0,0,0.0,0.0,0,0,0.0
서울우솔초등학교병설유치원,강남서초교육지원청,4,53,0.0754717,1,1,1,4.0,1.0,0,0,0.0
서울언주초등학교병설유치원,강남서초교육지원청,0,59,0.0,0,0,0,0.0,0.0,0,0,0.0
서울개원초등학교병설유치원,강남서초교육지원청,0,17,0.0,0,0,0,0.0,0.0,0,0,0.0
한별유치원,동작관악교육지원청,0,108,0.0,0,0,0,0.0,0.0,0,0,0.0
서울백산초등학교병설유치원,남부교육지원청,0,39,0.0,0,0,0,0.0,0.0,0,0,0.0
서울아람유치원,남부교육지원청,0,51,0.0,0,0,0,0.0,0.0,0,0,0.0
성모유치원,남부교육지원청,0,113,0.0,0,0,0,0.0,0.0,0,0,0.0
새서울유치원,강서양천교육지원청,0,66,0.0,0,0,0,0.0,0.0,0,0,0.0
샘터유치원,강서양천교육지원청,0,110,0.0,0,0,0,0.0,0.0,0,0,0.0
서울경인유치원,강서양천교육지원청,4,71,0.056338,1,1,1,4.0,1.0,0,0,0.0
서울공항초등학교병설유치원,강서양천교육지원청,4,75,0.0533333,1,1,0,0.0,0.0,0,1,4.0
새일문유치원,동부교육지원청,0,48,0.0,0,0,0,0.0,0.0,0,0,0.0
서울중곡초등학교병설유치원,동부교육지원청,0,51,0.0,0,0,0,0.0,0.0,0,0,0.0
한울유치원,북부교육지원청,0,26,0.0,0,0,0,0.0,0.0,0,0,0.0
햇살유치원,북부교육지원청,0,110,0.0,0,0,0,0.0,0.0,0,0,0.0
효천유치원,북부교육지원청,0,85,0.0,0,0,0,0.0,0.0,0,0,0.0
궁전유치원,서부교육지원청,0,36,0.0,0,0,0,0.0,0.0,0,0,0.0
꿀벌유치원,강동송파교육지원청,0,86,0.0,0,0,0,0.0,0.0,0,0,0.0
송원유치원,강동송파교육지원청,0,110,0.0,0,0,0,0.0,0.0,0,0,0.0
행복한유치원,북부교육지원청,0,56,0.0,0,0,0,0.0,0.0,0,0,0.0
성아유치원,서부교육지원청,0,81,0.0,0,0,0,0.0,0.0,0,0,0.0
성균관유치원,서부교육지원청,0,135,0.0,0,0,0,0.0,0.0,0,0,0.0
백주유치원,동부교육지원청,0,42,0.0,0,0,0,0.0,0.0,0,0,0.0
동산유치원,서부교육지원청,0,91,0.0,0,0,0,0.0,0.0,0,0,0.0
강변유치원,중부교육지원청,0,34,0.0,0,0,0,0.0,0.0,0,0,0.0
개동유치원,성북강북교육지원청,0,53,0.0,0,0,0,0.0,0.0,0,0,0.0
영광유치원,성북강북교육지원청,0,127,0.0,0,0,0,0.0,0.0,0,0,0.0
은영유치원,성북강북교육지원청,0,87,0.0,0,0,0,0.0,0.0,0,0,0.0
솔샘유치원,강서양천교육지원청,0,86,0.0,0,0,0,0.0,0.0,0,0,0.0
한나유치원,강서양천교육지원청,0,49,0.0,0,0,0,0.0,0.0,0,0,0.0
화곡유치원,강서양천교육지원청,0,12,0.0,0,0,0,0.0,0.0,0,0,0.0
정훈유치원,남부교육지원청,0,133,0.0,0,0,0,0.0,0.0,0,0,0.0
큰나무유치원,남부교육지원청,0,77,0.0,0,0,0,0.0,0.0,0,0,0.0
평강유치원,남부교육지원청,0,117,0.0,0,0,0,0.0,0.0,0,0,0.0
선희유치원,북부교육지원청,0,47,0.0,0,0,0,0.0,0.0,0,0,0.0
슬기유치원,북부교육지원청,0,197,0.0,0,0,0,0.0,0.0,0,0,0.0
영은유치원,북부교육지원청,0,66,0.0,0,0,0,0.0,0.0,0,0,0.0
서울마포초등학교병설유치원,서부교육지원청,0,71,0.0,0,0,0,0.0,0.0,0,0,0.0
서울상암초등학교병설유치원,서부교육지원청,0,47,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신도초등학교병설유치원,서부교육지원청,3,24,0.125,1,1,1,3.0,1.0,0,0,0.0
서일유치원,서부교육지원청,0,117,0.0,0,0,0,0.0,0.0,0,0,0.0
선경유치원,성동광진교육지원청,0,140,0.0,0,0,0,0.0,0.0,0,0,0.0
성산유치원,성동광진교육지원청,0,49,0.0,0,0,0,0.0,0.0,0,0,0.0
자양유치원,성동광진교육지원청,0,33,0.0,0,0,0,0.0,0.0,0,0,0.0
프라임유치원,성동광진교육지원청,0,146,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신천초등학교병설유치원,강동송파교육지원청,4,66,0.0606061,1,1,0,0.0,0.0,0,1,4.0
장미유치원,강동송파교육지원청,0,60,0.0,0,0,0,0.0,0.0,0,0,0.0
연유치원,서부교육지원청,0,87,0.0,0,0,0,0.0,0.0,0,0,0.0
도곡렉슬유치원,강남서초교육지원청,0,199,0.0,0,0,0,0.0,0.0,0,0,0.0
두산효자유치원,성북강북교육지원청,0,68,0.0,0,0,0,0.0,0.0,0,0,0.0
동원유치원,동작관악교육지원청,0,44,0.0,0,0,0,0.0,0.0,0,0,0.0
서울관악초등학교병설유치원,동작관악교육지원청,4,47,0.0851064,1,1,0,0.0,0.0,0,1,4.0
키즈위즈유치원,북부교육지원청,0,57,0.0,0,0,0,0.0,0.0,0,0,0.0
새싹유치원,성북강북교육지원청,0,117,0.0,0,0,0,0.0,0.0,0,0,0.0
한영중고등학교병설한영유치원,강동송파교육지원청,0,162,0.0,0,0,0,0.0,0.0,0,0,0.0
서울월촌초등학교병설유치원,강서양천교육지원청,0,69,0.0,0,0,0,0.0,0.0,0,0,0.0
선미유치원,강서양천교육지원청,0,87,0.0,0,0,0,0.0,0.0,0,0,0.0
솔밭유치원,강서양천교육지원청,0,43,0.0,0,0,0,0.0,0.0,0,0,0.0
미림유치원,남부교육지원청,0,54,0.0,0,0,0,0.0,0.0,0,0,0.0
예일유치원,동부교육지원청,0,124,0.0,0,0,0,0.0,0.0,0,0,0.0
은하유치원,남부교육지원청,0,87,0.0,0,0,0,0.0,0.0,0,0,0.0
서울은로초등학교병설유치원,동작관악교육지원청,4,84,0.047619,1,1,1,4.0,1.0,0,0,0.0
서울은천초등학교병설유치원,동작관악교육지원청,4,57,0.0701754,1,1,1,4.0,1.0,0,0,0.0
예림유치원,동작관악교육지원청,0,11,0.0,0,0,0,0.0,0.0,0,0,0.0
보나유치원,북부교육지원청,0,77,0.0,0,0,0,0.0,0.0,0,0,0.0
공릉 사라유치원,북부교육지원청,0,71,0.0,0,0,0,0.0,0.0,0,0,0.0
상원유치원,북부교육지원청,0,108,0.0,0,0,0,0.0,0.0,0,0,0.0
서울수락초등학교병설유치원,북부교육지원청,4,25,0.16,1,1,1,4.0,1.0,0,0,0.0
육사유치원,북부교육지원청,0,47,0.0,0,0,0,0.0,0.0,0,0,0.0
이레유치원,북부교육지원청,0,73,0.0,0,0,0,0.0,0.0,0,0,0.0
정의유치원,북부교육지원청,0,126,0.0,0,0,0,0.0,0.0,0,0,0.0
청아유치원,북부교육지원청,0,75,0.0,0,0,0,0.0,0.0,0,0,0.0
배영유치원,서부교육지원청,0,83,0.0,0,0,0,0.0,0.0,0,0,0.0
영암유치원,성북강북교육지원청,0,68,0.0,0,0,0,0.0,0.0,0,0,0.0
성신유치원,성북강북교육지원청,0,103,0.0,0,0,0,0.0,0.0,0,0,0.0
영동제일유치원,강남서초교육지원청,0,128,0.0,0,0,0,0.0,0.0,0,0,0.0
석문유치원,강남서초교육지원청,0,93,0.0,0,0,0,0.0,0.0,0,0,0.0
여나유치원,강남서초교육지원청,0,126,0.0,0,0,0,0.0,0.0,0,0,0.0
영유유치원,강남서초교육지원청,0,62,0.0,0,0,0,0.0,0.0,0,0,0.0
서울충무초등학교병설유치원,중부교육지원청,0,23,0.0,0,0,0,0.0,0.0,0,0,0.0
서울한남초등학교병설유치원,중부교육지원청,0,34,0.0,0,0,0,0.0,0.0,0,0,0.0
영락유치원,중부교육지원청,0,51,0.0,0,0,0,0.0,0.0,0,0,0.0
옥인유치원,중부교육지원청,0,64,0.0,0,0,0,0.0,0.0,0,0,0.0
충신유치원,중부교육지원청,0,160,0.0,0,0,0,0.0,0.0,0,0,0.0
새움유치원,강동송파교육지원청,0,89,0.0,0,0,0,0.0,0.0,0,0,0.0
예랑유치원,북부교육지원청,0,45,0.0,0,0,0,0.0,0.0,0,0,0.0
서울장곡초등학교병설유치원,성북강북교육지원청,0,60,0.0,0,0,0,0.0,0.0,0,0,0.0
서울세곡초등학교병설유치원,남부교육지원청,4,27,0.1481481,1,1,1,4.0,1.0,0,0,0.0
서울면동초등학교병설유치원,동부교육지원청,0,45,0.0,0,0,0,0.0,0.0,0,0,0.0
삼성유치원,동부교육지원청,0,198,0.0,0,0,0,0.0,0.0,0,0,0.0
참사랑유치원,남부교육지원청,0,140,0.0,0,0,0,0.0,0.0,0,0,0.0
온누리유치원,북부교육지원청,0,98,0.0,0,0,0,0.0,0.0,0,0,0.0
서울자양초등학교병설유치원,성동광진교육지원청,0,55,0.0,0,0,0,0.0,0.0,0,0,0.0
금성유치원,성북강북교육지원청,0,31,0.0,0,0,0,0.0,0.0,0,0,0.0
동명유치원,성북강북교육지원청,0,45,0.0,0,0,0,0.0,0.0,0,0,0.0
길물빛유치원,성북강북교육지원청,0,77,0.0,0,0,0,0.0,0.0,0,0,0.0
준현유치원,강동송파교육지원청,0,140,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신성초등학교병설유치원,동작관악교육지원청,5,72,0.0694444,1,1,1,5.0,1.0,0,0,0.0
꽃동산유치원,북부교육지원청,0,15,0.0,0,0,0,0.0,0.0,0,0,0.0
고덕유치원,강동송파교육지원청,0,98,0.0,0,0,0,0.0,0.0,0,0,0.0
서울진관유치원,서부교육지원청,5,71,0.0704225,1,1,1,5.0,1.0,0,0,0.0
서울은빛유치원,서부교육지원청,5,106,0.0471698,1,1,1,5.0,1.0,0,0,0.0
서울공진초등학교병설유치원,강서양천교육지원청,0,58,0.0,0,0,0,0.0,0.0,0,0,0.0
선일유치원,서부교육지원청,0,110,0.0,0,0,0,0.0,0.0,0,0,0.0
서울상도유치원,동작관악교육지원청,3,94,0.0319149,1,1,1,3.0,1.0,0,0,0.0
총신대부속유치원,동작관악교육지원청,0,137,0.0,0,0,0,0.0,0.0,0,0,0.0
큰솔유치원,동작관악교육지원청,0,164,0.0,0,0,0,0.0,0.0,0,0,0.0
현대유치원,동작관악교육지원청,0,145,0.0,0,0,0,0.0,0.0,0,0,0.0
서울개봉초등학교병설유치원,남부교육지원청,4,60,0.0666667,1,1,0,0.0,0.0,0,1,4.0
서울영서초등학교병설유치원,남부교육지원청,4,36,0.1111111,1,1,1,4.0,1.0,0,0,0.0
서울윤중초등학교병설유치원,남부교육지원청,0,43,0.0,0,0,0,0.0,0.0,0,0,0.0
광남유치원,성동광진교육지원청,0,141,0.0,0,0,0,0.0,0.0,0,0,0.0
보라유치원,강서양천교육지원청,0,84,0.0,0,0,0,0.0,0.0,0,0,0.0
서강유치원,강서양천교육지원청,0,102,0.0,0,0,0,0.0,0.0,0,0,0.0
서울전동초등학교병설유치원,동부교육지원청,5,45,0.1111111,1,1,1,5.0,1.0,0,0,0.0
자람유치원,동부교육지원청,0,34,0.0,0,0,0,0.0,0.0,0,0,0.0
신일유치원,동부교육지원청,0,30,0.0,0,0,0,0.0,0.0,0,0,0.0
아랑유치원,동부교육지원청,0,61,0.0,0,0,0,0.0,0.0,0,0,0.0
학여울유치원,북부교육지원청,0,146,0.0,0,0,0,0.0,0.0,0,0,0.0
효자유치원,북부교육지원청,0,108,0.0,0,0,0,0.0,0.0,0,0,0.0
우일유치원,강동송파교육지원청,0,282,0.0,0,0,0,0.0,0.0,0,0,0.0
석촌유치원,강동송파교육지원청,0,240,0.0,0,0,0,0.0,0.0,0,0,0.0
서울상지초등학교병설유치원,서부교육지원청,5,42,0.1190476,1,1,1,5.0,1.0,0,0,0.0
대진유치원,서부교육지원청,0,83,0.0,0,0,0,0.0,0.0,0,0,0.0
예슬유치원,강동송파교육지원청,0,156,0.0,0,0,0,0.0,0.0,0,0,0.0
샛별유치원,강동송파교육지원청,0,61,0.0,0,0,0,0.0,0.0,0,0,0.0
동삼유치원,강동송파교육지원청,0,14,0.0,0,0,0,0.0,0.0,0,0,0.0
로뎅유치원,동부교육지원청,0,31,0.0,0,0,0,0.0,0.0,0,0,0.0
원일유치원,강서양천교육지원청,0,88,0.0,0,0,0,0.0,0.0,0,0,0.0
나비유치원,남부교육지원청,0,50,0.0,0,0,0,0.0,0.0,0,0,0.0
조형유치원,남부교육지원청,0,37,0.0,0,0,0,0.0,0.0,0,0,0.0
준희유치원,남부교육지원청,0,20,0.0,0,0,0,0.0,0.0,0,0,0.0
어린이회관유치원,성동광진교육지원청,0,270,0.0,0,0,0,0.0,0.0,0,0,0.0
영화유치원,성동광진교육지원청,0,45,0.0,0,0,0,0.0,0.0,0,0,0.0
육영유치원,강남서초교육지원청,0,56,0.0,0,0,0,0.0,0.0,0,0,0.0
서울고명초등학교병설유치원,강동송파교육지원청,0,40,0.0,0,0,0,0.0,0.0,0,0,0.0
서울명일유치원,강동송파교육지원청,7,96,0.0729167,1,1,1,7.0,1.0,0,0,0.0
신세기유치원,강서양천교육지원청,0,99,0.0,0,0,0,0.0,0.0,0,0,0.0
성보나유치원,강동송파교육지원청,0,64,0.0,0,0,0,0.0,0.0,0,0,0.0
보고유치원,북부교육지원청,0,53,0.0,0,0,0,0.0,0.0,0,0,0.0
빛나라유치원,성북강북교육지원청,0,40,0.0,0,0,0,0.0,0.0,0,0,0.0
생명나무유치원,강동송파교육지원청,0,138,0.0,0,0,0,0.0,0.0,0,0,0.0
선한유치원,성북강북교육지원청,0,68,0.0,0,0,0,0.0,0.0,0,0,0.0
서울영도초등학교병설유치원,강서양천교육지원청,0,55,0.0,0,0,0,0.0,0.0,0,0,0.0
서울정곡초등학교병설유치원,강서양천교육지원청,0,30,0.0,0,0,0,0.0,0.0,0,0,0.0
신영유치원,강서양천교육지원청,0,109,0.0,0,0,0,0.0,0.0,0,0,0.0
새두산유치원,남부교육지원청,0,82,0.0,0,0,0,0.0,0.0,0,0,0.0
영은유치원,동부교육지원청,0,170,0.0,0,0,0,0.0,0.0,0,0,0.0
동그라미유치원,동작관악교육지원청,0,228,0.0,0,0,0,0.0,0.0,0,0,0.0
세희유치원,남부교육지원청,0,45,0.0,0,0,0,0.0,0.0,0,0,0.0
예닮유치원,동작관악교육지원청,0,25,0.0,0,0,0,0.0,0.0,0,0,0.0
은혜유치원,동작관악교육지원청,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0
다솜유치원,북부교육지원청,0,205,0.0,0,0,0,0.0,0.0,0,0,0.0
대원유치원,북부교육지원청,0,11,0.0,0,0,0,0.0,0.0,0,0,0.0
보배유치원,북부교육지원청,0,59,0.0,0,0,0,0.0,0.0,0,0,0.0
우리유치원,북부교육지원청,0,147,0.0,0,0,0,0.0,0.0,0,0,0.0
초안유치원,북부교육지원청,0,57,0.0,0,0,0,0.0,0.0,0,0,0.0
벧엘유치원,서부교육지원청,0,90,0.0,0,0,0,0.0,0.0,0,0,0.0
예그린유치원,서부교육지원청,0,61,0.0,0,0,0,0.0,0.0,0,0,0.0
색동유치원,서부교육지원청,0,112,0.0,0,0,0,0.0,0.0,0,0,0.0
아이들세상유치원,성동광진교육지원청,0,85,0.0,0,0,0,0.0,0.0,0,0,0.0
사랑유치원,성북강북교육지원청,0,175,0.0,0,0,0,0.0,0.0,0,0,0.0
오송유치원,강동송파교육지원청,0,113,0.0,0,0,0,0.0,0.0,0,0,0.0
서울수서초등학교병설유치원,강남서초교육지원청,0,19,0.0,0,0,0,0.0,0.0,0,0,0.0
서울인왕초등학교병설유치원,서부교육지원청,0,45,0.0,0,0,0,0.0,0.0,0,0,0.0
선경유치원,강남서초교육지원청,0,27,0.0,0,0,0,0.0,0.0,0,0,0.0
신아유치원,강남서초교육지원청,0,120,0.0,0,0,0,0.0,0.0,0,0,0.0
신양유치원,강남서초교육지원청,0,67,0.0,0,0,0,0.0,0.0,0,0,0.0
우정유치원,강남서초교육지원청,0,67,0.0,0,0,0,0.0,0.0,0,0,0.0
강서유치원,강서양천교육지원청,0,103,0.0,0,0,0,0.0,0.0,0,0,0.0
대유유치원,강서양천교육지원청,0,74,0.0,0,0,0,0.0,0.0,0,0,0.0
대한유치원,강서양천교육지원청,0,35,0.0,0,0,0,0.0,0.0,0,0,0.0
동연유치원,강서양천교육지원청,0,59,0.0,0,0,0,0.0,0.0,0,0,0.0
목성유치원,강서양천교육지원청,0,160,0.0,0,0,0,0.0,0.0,0,0,0.0
문성유치원,강서양천교육지원청,0,89,0.0,0,0,0,0.0,0.0,0,0,0.0
숭의여자대학교부설유치원,중부교육지원청,0,60,0.0,0,0,0,0.0,0.0,0,0,0.0
일민유치원,중부교육지원청,0,124,0.0,0,0,0,0.0,0.0,0,0,0.0
한아름유치원,중부교육지원청,0,31,0.0,0,0,0,0.0,0.0,0,0,0.0
서울휘경유치원,동부교육지원청,5,94,0.0531915,1,1,0,0.0,0.0,0,1,5.0
서울도곡초등학교병설유치원,강남서초교육지원청,0,57,0.0,0,0,0,0.0,0.0,0,0,0.0
하늘유치원,서부교육지원청,0,124,0.0,0,0,0,0.0,0.0,0,0,0.0
무지개영재유치원,남부교육지원청,0,246,0.0,0,0,0,0.0,0.0,0,0,0.0
예일유치원,동작관악교육지원청,0,51,0.0,0,0,0,0.0,0.0,0,0,0.0
반석유치원,강동송파교육지원청,0,81,0.0,0,0,0,0.0,0.0,0,0,0.0
청담몬테소리유치원,강남서초교육지원청,0,109,0.0,0,0,0,0.0,0.0,0,0,0.0
동인유치원,성동광진교육지원청,0,19,0.0,0,0,0,0.0,0.0,0,0,0.0
경동유치원,성동광진교육지원청,0,157,0.0,0,0,0,0.0,0.0,0,0,0.0
송곡유치원,성동광진교육지원청,0,61,0.0,0,0,0,0.0,0.0,0,0,0.0
현대유치원,북부교육지원청,0,28,0.0,0,0,0,0.0,0.0,0,0,0.0
백상유치원,남부교육지원청,0,22,0.0,0,0,0,0.0,0.0,0,0,0.0
서울혜화초등학교병설유치원,중부교육지원청,0,15,0.0,0,0,0,0.0,0.0,0,0,0.0
서울구현초등학교병설유치원,서부교육지원청,0,30,0.0,0,0,0,0.0,0.0,0,0,0.0
아랑유치원,성북강북교육지원청,0,190,0.0,0,0,0,0.0,0.0,0,0,0.0
예일유치원,성동광진교육지원청,0,68,0.0,0,0,0,0.0,0.0,0,0,0.0
우람유치원,강서양천교육지원청,0,194,0.0,0,0,0,0.0,0.0,0,0,0.0
서울면목초등학교병설유치원,동부교육지원청,0,36,0.0,0,0,0,0.0,0.0,0,0,0.0
서울문창초등학교병설유치원,동작관악교육지원청,6,72,0.0833333,1,1,1,6.0,1.0,0,0,0.0
잠실럭키유치원,강동송파교육지원청,0,108,0.0,0,0,0,0.0,0.0,0,0,0.0
구룡유치원,강남서초교육지원청,0,85,0.0,0,0,0,0.0,0.0,0,0,0.0
남부유치원,강남서초교육지원청,0,73,0.0,0,0,0,0.0,0.0,0,0,0.0
서울도봉초등학교병설유치원,북부교육지원청,0,12,0.0,0,0,0,0.0,0.0,0,0,0.0
서울수암초등학교병설유치원,북부교육지원청,0,57,0.0,0,0,0,0.0,0.0,0,0,0.0
서울매봉초등학교병설유치원,남부교육지원청,0,44,0.0,0,0,0,0.0,0.0,0,0,0.0
서울서정초등학교병설유치원,강서양천교육지원청,0,59,0.0,0,0,0,0.0,0.0,0,0,0.0
종인유치원,동작관악교육지원청,0,28,0.0,0,0,0,0.0,0.0,0,0,0.0
하늘유치원,동작관악교육지원청,0,42,0.0,0,0,0,0.0,0.0,0,0,0.0
고운유치원,북부교육지원청,0,186,0.0,0,0,0,0.0,0.0,0,0,0.0
까치유치원,북부교육지원청,0,113,0.0,0,0,0,0.0,0.0,0,0,0.0
서울고척초등학교병설유치원,남부교육지원청,4,87,0.045977,1,1,1,4.0,1.0,0,0,0.0
서울남유치원,남부교육지원청,0,88,0.0,0,0,0,0.0,0.0,0,0,0.0
서울탑동유치원,남부교육지원청,0,77,0.0,0,0,0,0.0,0.0,0,0,0.0
살레시오성미유치원,남부교육지원청,0,197,0.0,0,0,0,0.0,0.0,0,0,0.0
피노키오유치원,서부교육지원청,0,80,0.0,0,0,0,0.0,0.0,0,0,0.0
한양제일유치원,서부교육지원청,0,62,0.0,0,0,0,0.0,0.0,0,0,0.0
서울신원초등학교병설유치원,강서양천교육지원청,0,25,0.0,0,0,0,0.0,0.0,0,0,0.0
한별유치원,북부교육지원청,0,82,0.0,0,0,0,0.0,0.0,0,0,0.0
경복유치원,서부교육지원청,0,140,0.0,0,0,0,0.0,0.0,0,0,0.0
